15C_A	15C_B	15C_C	25C_D	25C_E	25C_F	32C_G	32C_H	32C_I
TRINITY_DN3226_c0_g1	0.803391184105443	0.837547491605419	0.682691143792557	-0.736988679491342	0.105412040679408	-1.063952364276	-0.118569921353509	0.0913258612019083	-0.600856756263882
TRINITY_DN51070_c0_g1	0.288520358781404	0.904594573247749	-0.0515719038806992	-1.18851483114373	-0.659708456907314	-1.41502336095241	0.536564433862342	0.63391028424551	0.951228902747152
TRINITY_DN50812_c0_g1	1.18338072490588	0.829143925244509	0.441298773173032	-0.515666766308462	0.430776639522751	-0.524740349933924	-0.690972322770781	-0.498806094766141	-0.654414529066859
TRINITY_DN59868_c0_g1	0.818509012505694	0.912147388711823	0.681166719761837	-1.0210475312486	-0.121871900768091	-0.65479526754904	0.250378144844331	-0.0687139648789179	-0.795772601379034
TRINITY_DN11939_c0_g1	1.27059902676128	0.891462478988542	0.12426468340292	-1.07422947023616	-1.07422947023616	-0.932796679306867	1.01966869234939	-1.07422947023616	0.849490208513226
TRINITY_DN14919_c0_g1	1.69623341881213	1.22885063559378	0.89236607711745	-0.517937944614783	-1.04890280017553	-1.34329494537451	-0.115273985084682	-0.406256679500479	-0.385783776773379
TRINITY_DN16119_c0_g1	0.885910005171982	1.36487876860111	0.425163626069534	-0.436526887125305	-0.668848425705484	-0.445033368378706	-0.369412691266768	-0.397204843288091	-0.358926184078276
TRINITY_DN16901_c0_g1	1.46565867279695	0.752667752128368	0.857091608177712	-0.279222469850019	-0.376697977880225	-0.0210065886195803	-0.969158784736845	-0.742718656950758	-0.686613555065608
TRINITY_DN55646_c0_g1	1.30099353795416	0.608265099509925	0.907704628488169	-0.70499524208968	-0.306859802721255	-0.970432138138778	-0.317830920542259	-0.468610872717868	-0.0482342897424112
TRINITY_DN11933_c0_g1	1.14384539333109	1.68264066782617	1.13975031524554	-0.529653781991719	-0.606448997531896	-1.14493442533926	-0.693396027658735	-0.284704346607002	-0.707098797274192
TRINITY_DN6388_c0_g1	1.46991154828013	2.75253522786132	1.35247014397968	-1.20138182420145	-1.07176908607098	-1.11459805805938	-0.925182959169207	-0.0606031684186532	-1.20138182420145
TRINITY_DN48566_c0_g1	1.44197550549978	0.862911508407308	0.43010565283598	0.0552686328460255	-0.355519393431461	-1.04705355835066	-0.782817407307114	-0.224119510322289	-0.380751430177566
